<pad>	1000000000
<unk>	1000000000
<s>	1000000000
</s>	1000000000
bạn	127
hàng	72
có	56
mình	50
gian	39
ạ	39
Bạn	36
cho	35
thể	34
phẩm	33
sản	32
vui	31
lòng	30
tin	29
để	29
của	27
Chào	26
nhé	25
và	24
đăng	24
mua	23
Vatgia.com	23
vụ	21
bán	20
gì	17
thông	17
khi	17
đó	16
Khách	16
liên	16
hệ	15
giúp	15
sẽ	14
được	14
Hàng	13
Trợ	13
Hỗ	13
cụ	13
thanh	13
Dịch	13
với	13
đã	13
ạ.	13
nào	13
cảm	12
nhận	12
cần	12
vặt	12
trợ	12
Vâng	12
không	11
hỗ	11
biết	11
này	11
nhé.	11
giá	11
giao	11
rao	10
đặt	10
thì	10
xác	10
tại	10
là	10
k	10
toán	10
trên	10
tên	9
trang	9
kiếm	9
ơn	9
ngày	8
dịch	8
link	8
bên	8
tìm	8
ở	8
vào	8
Mong	8
e	8
phí	8
chính	8
đơn	8
chưa	8
khác	8
đang	7
.	7
ko	7
cấp	7
thấy	7
tôi	7
về	7
nhau	7
cung	7
mã	6
Nhưng	6
thời	6
yêu	6
muốn	6
VIP	6
lại	6
vâng	6
mà	6
Chúc	6
xem	6
bao	6
thu	6
xin	6
muon	5
quan	5
tâm	5
ảnh	5
hiện	5
thị	5
cũng	5
dụng	5
em	5
Mình	5
nên	5
vẻ	5
chuyển	5
do	5
nếu	5
Dạ	5
a	5
sử	5
cách	5
hình	5
Cảm	5
hiển	5
vận	5
chi	4
trong	4
co	4
cầu.	4
buổi	4
vấn	4
vatgia.com	4
hơn	4
minh	4
theo	4
tiền	4
ban	4
gia	4
hỏi	4
alo	4
chiều	4
nói	4
cầu	4
chỉ	4
máy	4
víp	4
loại	4
chọn	3
Bước	3
Hài	3
thêm	3
chào	3
tư	3
người	3
tham	3
họ	3
mới	3
số	3
Sau	3
da	3
oi	3
Hình	3
ơi	3
cam	3
ý	3
báo	3
vật	3
bài	3
dien	3
nhưng	3
in	3
sau	3
công	3
hộ	3
tính	3
anh	3
nghiệp	3
những	3
thứ	3
kim	3
click	3
lên	3
