<pad>	1000000000
<unk>	1000000000
<s>	1000000000
</s>	1000000000
bạn	129
hàng	74
có	59
mình	53
ạ	45
gian	39
cho	37
Bạn	36
phẩm	35
thể	34
sản	34
vui	31
lòng	30
tin	29
để	29
của	28
không	27
và	26
Chào	26
nhé	25
đăng	25
mua	23
Vatgia.com	23
bán	21
vụ	21
gì	18
thông	17
được	17
khi	17
đó	16
Khách	16
liên	16
giúp	16
hệ	15
giá	15
sẽ	14
đã	14
nào	14
Trợ	13
Hỗ	13
nhận	13
cảm	13
cụ	13
thanh	13
Dịch	13
với	13
Hàng	13
ạ.	13
thì	12
giao	12
này	12
cần	12
vặt	12
trợ	12
Vâng	12
muốn	11
hỗ	11
biết	11
là	11
nhé.	11
rao	10
đặt	10
xác	10
toán	10
tại	10
trên	10
chưa	10
tên	9
trang	9
Mong	9
phí	9
kiếm	9
ơn	9
ngày	8
dịch	8
link	8
bên	8
ở	8
vào	8
tôi	8
về	8
tìm	8
chính	8
đơn	8
khác	8
đang	7
.	7
cấp	7
em	7
thấy	7
nhau	7
cung	7
mã	6
Nhưng	6
yêu	6
VIP	6
lại	6
vâng	6
thời	6
ơi	6
Mình	6
mà	6
e	6
hỏi	6
Chúc	6
xem	6
cách	6
bao	6
hình	6
thu	6
điện	6
xin	6
quan	5
tâm	5
ảnh	5
hiện	5
thoại	5
thị	5
cũng	5
dụng	5
nên	5
vẻ	5
chuyển	5
tiền	5
nếu	5
Dạ	5
sử	5
anh	5
máy	5
Cảm	5
hiển	5
vận	5
chi	4
chào	4
trong	4
cầu.	4
buổi	4
vip	4
vấn	4
vatgia.com	4
bảo	4
hơn	4
theo	4
vậy	4
alo	4
công	4
nói	4
cầu	4
chiều	4
chỉ	4
như	4
loại	4
chọn	3
làm	3
Bước	3
Hài	3
hiểm	3
thêm	3
tư	3
người	3
dạ	3
tham	3
họ	3
mới	3
Sau	3
số	3
ký	3
thế	3
Hình	3
cam	3
ý	3
báo	3
vật	3
bài	3
nhưng	3
phím	3
in	3
do	3
sau	3
hộ	3
tính	3
những	3
thứ	3
phải	3
cả	3
click	3
